scriptNumber,scriptType,name,dialog,select1,select2,select3,select4,select5,answer,image,cuttoon,비고,QuizNumber,SoundEffect,,FALSE
15_1,nomal,Himchan,"Hello, my workout buddy! High five, pair up!",,,,,,,1,,,,Null,,
15_1,nomal,주인공,High five~ Pair up!,,,,,,,9,,,,Null,,
15_1,nomal,주인공,"Cheer up, let's enjoy working out today too!",,,,,,,9,,,,Null,,
15_1,nomal,Himchan,"Finally, P_name knows the joy of exercising. Uh-huh-huh.",,,,,,,1,,,,himchan,,
15_1,nomal,Himchan,"Today, we're going to do sit-ups and waist exercises.",,,,,,,1,,,,Null,,
15_1,nomal,Himchan,"Remember, when exercising, be sure to do it with your parents and get certified.",,,,,,,1,,,,Null,,
15_1,video,Himchan,The first exercise is sit-ups. Let's go,,,,,,,1,6,,,Null,,
15_1,videoEnd,Himchan,"Try the next move, follow me!",,,,,,,1,,,,Null,,
15_1,video,Himchan,The second move is waist rotation. Round and round and round.,,,,,,,1,7,,,Null,,
15_1,videoEnd,Himchan,"Try the next move, follow me!",,,,,,,1,,,,Null,,
15_1,video,Himchan,The last move is waist stretching. Stretch~~,,,,,,,1,8,,,Null,,
15_1,videoEnd,Himchan,It's important to exercise regularly and enjoyably.,,,,,,,1,,,,Null,,
15_1,nomal,Himchan,That's all for today. Workout complete~~,,,,,,,1,,,,Null,,
15_1,nomal,주인공,Huh? Is it over already? Let's exercise a little more~,,,,,,,9,,,,Null,,
15_1,end,end,end,,,,,,,9,,,,Null,,
