scriptNumber,scriptType,name,dialog,select1,select2,select3,select4,select5,answer,image,cuttoon,비고,QuizNumber,SoundEffect,,FALSE
13_2,nomal,나리,"엄마, 아빠! 저희 왔어요.",,,,,,,5,,배에서 내린 나리와 주인공이 나리의 집으로 이동하여 나리 가족을 만난다.,,Null,,
13_2,nomal,우디,"그래, 어서들 오너라. 기다리고 있었단다.",,,,,,,12,,,,Null,,
13_2,nomal,주인공,안녕하세요! 저는 나리친구 P_name에요.,,,,,,,9,,,,Null,,
13_2,nomal,써니,"P_name아, 만나서 반가워! 우리 도토리 마을은 처음 온거지? ",,,,,,,13,,,,Null,,
13_2,nomal,주인공,"네, 마을을 구경할 생각하니 벌써부터 설레요. ",,,,,,,9,,,,Null,,
13_2,nomal,써니,"호호, 기대해도 좋아. 자, 그럼 마을 구경을 시작해볼까?",,,,,,,13,,,,Null,,
13_2,AMove,써니,처음 소개할 곳은 바로 내가 하고 있는 식당이란다.,,,,,,,13,,"써니, 주인공, 나리가 마을 구경을 위해 집을 나선다..",,Null,,
13_2,nomal,주인공,어? 비빔밥을 파는 식당이네요.,,,,,,,9,,,,Null,,
13_2,nomal,써니,"도토리 마을 친구들이 비빔밥을 무척 좋아하거든. 그래서 내가 비빔밥 식당을 차렸지 뭐니, 호호호",,,,,,,13,,,,Null,,
13_2,nomal,주인공,저도 비빔밥 정말 좋아해요. 모든 영양소가 다 들어가있는 건강한 음식이잖아요! ,,,,,,,9,,,,Null,,
13_2,nomal,써니,"듣던 중 반가운 소리네. P_name아, 비빔밥이 먹고 싶으면 언제든 찾아오렴.  ",,,,,,,13,,,,Null,,
13_2,nomal,써니,아! 그리고 우리 식당에서 특별 이벤트로 비빔밥 만들기 게임도 할 수 있거든. 그것도 꼭 해보려무나.,,,,,,,13,,,,Null,,
13_2,nomal,써니,"자, 다음 장소로 이동해볼까? ",,,,,,,13,,,,Null,,
13_2,nomal,주인공,두 번째 장소로 렛츠고! ,,,,,,,9,,,,Null,,
13_2,AMove,써니,두번째로 소개할 곳은 장작 패는 곳이란다. 도토리 마을 친구들이 겨울을 따뜻하게 지낼 수 있게 나리 아빠가 이곳에서 장작을 패고 있지.,,,,,,,13,,13,,Null,,
13_2,nomal,주인공,와! 장작들이 엄청 많이 쌓여있네요. 이 장작들 덕분에 겨울을 따뜻하게 보낼 수 있겠어요.,,,,,,,9,,(잔뜩 쌓여진 장작을 보며),,Null,,
13_2,nomal,써니,그렇지. 겨울이 오기 전에 장작을 넉넉하게 준비해놔야 하거든. ,,,,,,,13,,,,Null,,
13_2,nomal,써니,"이곳에서는 장작 패기 게임이 준비되어 있으니까, 주저말고 도전 해보렴. 그런데, 생각만큼 쉽진 않을 거야, 호호호. 자, 그럼 마지막 장소로 가볼까?",,,,,,,13,,,,Null,,
13_2,nomal,주인공,마지막 장소로 렛츠고! ,,,,,,,9,,,,Null,,
13_2,AMove,써니,"짜잔! 마지막으로 소개할 것은 바로 이 나무란다. 이 나무는 우리 도토리 마을에서 가장 큰 나무인데, 우리 마을을 상징하는 소중한 나무지. 아주 근사하지? ",,,,,,,13,, (큰 나무를 가리키며),,Null,,
13_2,nomal,주인공,우아아~ 나무가 진짜 크네요! 열매도 엄청 많이 달려있구요. 이렇게 멋진 나무가 있어서 도토리 마을이 더 빛나보여요.,,,,,,,9,,,,Null,,
13_2,nomal,써니,오호! 정말? 우리 마을 친구들은 이 나무를 매우 아끼고 사랑한단다. ,,,,,,,13,,,,Null,,
13_2,nomal,써니,"아 참! 나무가 주는 특별한 선물이 있거든. 바로 열매 따기 게임인데, 게임 속에서 열매를 마음껏 따는 건데, 이 게임도 도전해보렴.",,,,,,,13,,,,Null,,
13_2,nomal,주인공,네. 꼭 볼게요. 오늘 마을 구경도 시켜주시고 재밌는 게임도 소개시켜주셔서 고맙습니다. 자주 놀러올게요.,,,,,,,9,,,,Null,,
13_2,nomal,써니,"그래, 우리는 P_name을 언제나 환영하니까 언제든 놀러와~ ",,,,,,,13,,,,Null,,
13_2,ReloadEnd,end,end,,,,,,,,,,,Null,,
