scriptNumber,scriptType,name,dialog,select1,select2,select3,select4,select5,answer,image,cuttoon,비고,QuizNumber,SoundEffect,,FALSE
30_1,nomal,힘찬,"P_name아, 안녕! 운동하러 왔구나!   ",,,,,,,1,,,,Null,,
30_1,nomal,주인공,역시 운동장에 힘찬이가 있을 줄 알았어. 힘찬아! 같이 운동하자.,,,,,,,9,,,,Null,,
30_1,nomal,힘찬,"나는 훌라후프를 하려고 하는데, 너도 같이 할래?",,,,,,,1,,,,Null,,
30_1,nomal,주인공,훌라후프? 난 훌라후프를 한번도 해 본적이 없는데. ,,,,,,,9,,,,Null,,
30_1,nomal,힘찬,"오늘 해보면 훌라후프의 매력에 쏙 빠질 걸. 우하하!   그럼, 내가 훌라후프 하는 법을 알려줄게. 자, 나를 따라해봐. 먼저 훌라후프를 바닥에 놓는다. 실시! ",,,,,,,1,,[훌라후프 바닥에 내려놓는 모션],,Null,,
30_1,Hulahoop,주인공,훌라후프를 바닥에 놓는다! ,,,,,,,9,0,[힘찬이를 따라서 바닥에 내려놓음] ,,Null,,
30_1,Hulahoop,힘찬,"훌라후프를 바닥에 평평하게 놓았으면, 훌라후프 안으로 쏙 들어간다. 그런 다음, 훌라후프 안에서 손을 어깨넓이로 유지하고 훌라후프를 집어 든다. 실시! ",,,,,,,1,1,[훌라후프 안에 들어가는 모션],,Null,,
30_1,Hulahoop,주인공,훌라후프를 집어 든다! ,,,,,,,9,2,[훌라후프 집어드는 모션],,Null,,
30_1,nomal,힘찬,그 다음은 양손으로 후프의 양옆을 잡고 훌라후프를 허리까지 올리고 몸통의 한쪽에 걸친다!,,,,,,,1,,,,Null,,
30_1,Hulahoop,힘찬,그리고 원을 그리면서 허리를 돌리기 시작한다. 훌라후프가 빙글빙글 잘 돌아갈 수 있도록 허리를 계속 돌린다! ,,,,,,,1,3,"[훌라후프 모션, 근데 주인공은 2번 정도 떨어뜨리다가 잘하기]",,Null,,
30_1,Hulahoop,힘찬,"여기서 잠깐! 처음에는 훌라후프가 바닥에 자꾸 떨어질 수 있어. 그럴 땐 다시 집어서 계속 돌리면 돼! 동작이 익숙해지면 훌라후프가 내려가려 할 때 다시 올리는 비법까지 터득할 수 있다구, 우하하!",,,,,,,1,4,,,Null,,
30_1,Hulahoop,힘찬,"P_name아, 어땠어? 훌라후프를 해 본 소감은? ",,,,,,,1,5,,,Null,,
30_1,Hulahoop,주인공,처음에는 조금 어려웠는데 계속 연습하면 잘 할 수 있을거야.,,,,,,,9,6,,,Null,,
30_1,nomal,힘찬,나이스! 그런 자신감으로 꾸준히 해봐. 훌라후프 선수도 될 수 있을 걸! 그럼 오늘은 여기까지! 운동 끝~! ,,,,,,,1,,,,Null,,
30_1,end,end,end,,,,,,,,,부모님인증_훌라후프,,Null,,
